food_0,720,457,25, broccoli
food_1,764,402,25, seaweed
food_2,824,359,25, soup
food_3,874,317,25, poke
food_4,936,300,25, tomato
food_5,1001,310,25, beef stirfry
food_6,1047,320,25, unknown
food_7,1089,345,25, unknown
food_8,1135,369,25, unknown
food_9,1163,402,25, unknown
food_10,1198,431,25, stirfry
food_11,1230,469,25, pancake
food_12,1258,512,25, eggs
food_13,1284,572,25, dumplings
food_14,1302,643,25, soup
food_15,1317,713,25, beef ribs
food_16,1302,774,25, tomatoes
food_17,1284,835,25, seaweed
food_18,1258,906,25, poke
food_19,1230,958,25, noodle soup
food_20,1198,1012,25, cashew chicken
food_21,1163,1064,25, unknown food
food_22,1135,1119,25, rib
food_23,1089,1169,25, ribs and rice
food_24,1047,1225,25, side dishes
food_25,1001,1271,25, stir fry
food_26,955,1320,25, wide noodles
food_27,910,1362,25, noodle soup
food_28,851,1415,25, unknown
food_29,809,1455,25, hotpot
food_30,759,1493,25, pickle
food_31,708,1530,25, chicken
food_32,670,1563,25, sesame chicken
food_33,632,1530,25, chicken pieces
food_34,581,1493,25, egg stirfry
food_35,531,1455,25, boiled egg
food_36,489,1415,25, grapes
food_37,430,1362,25, cabbage
food_38,385,1320,25, seaweed
food_39,339,1271,25, chicken
food_40,293,1225,25, rice and pork
food_41,251,1169,25, beef
food_42,205,1119,25, beef2
food_43,177,1064,25, sesame
food_44,142,1012,25, rice
food_45,110,958,25, noodles and peas
food_46,82,906,25, unknown
food_47,56,835,25, rice
food_48,38,774,25, beef
food_49,23,713,25, chicken
food_50,38,643,25, unknown
food_51,56,572,25, cabbage
food_52,82,512,25, unknown
food_53,110,469,25, unknown
food_54,142,431,25, unknown
food_55,177,402,25, unknown
food_56,205,369,25, unknown
food_57,251,345,25, unknown
food_58,293,320,25, sandwich
food_59,339,310,25, unknown
food_60,404,300,25, unknown
food_61,466,317,25, lobster
food_62,516,359,25, banana chocolate crepe
food_63,576,402,25, unknown
food_64,620,457,25, strawberries
food_65,670,470,25, unknown
